name,distance,address,telephone,rating,review_counts,closed
Madras Kaapi,150.0040414888556,"870 College Street, Toronto, ON M6H 1A3, Canada",+1 416-516-9909,4.5,11,False
Madras Masala,954.3725987276905,"796 Bloor Street W, Suite 1, Toronto, ON M6G 1L7, Canada",+1 647-342-4359,4.0,161,False
Mumbaikar Indian Restaurant and Bar,1027.0398455269199,"1063 Bloor Street W, Toronto, ON M6H 1M5, Canada",+1 416-533-1576,4.0,4,False
Mannat Indian & Hakka Bar,46.28838888427089,"839 College St, Toronto, ON M6H 1A1, Canada",+1 647-398-2155,4.5,8,False
Samrat Indian Cuisine,533.7623601712992,"648 College St, Toronto, ON M6G 1B8, Canada",+1 905-724-1006,3.5,10,False
My Roti Place,926.4089477155715,"810 Bloor Street W, Toronto, ON M6G 1L9, Canada",+1 416-588-0202,5.0,1,False
By Aanch,615.4592429102706,"633 College Street, Toronto, ON M6G 1B5, Canada",+1 647-483-0513,5.0,1,False
Butter Chicken Roti - Bloor W,1006.0572045897559,"1030 Bloor Street W, Toronto, ON M6H 1M2, Canada",+1 647-347-3227,4.0,10,False
Bawara,960.8524112388684,"1570 Bloor St W, Toronto, ON M5G 1S4, Canada",+1 416-532-2323,4.5,11,False
Bukhara Grill,1005.3737219878177,"2241A Bloor Street W, Toronto, ON M6S 1N7, Canada",+1 416-551-5199,4.0,74,False
Bawara,533.6496960375443,"1570 Bloor St W, Toronto, ON M5G 1S4, Canada",+1 416-532-2323,4.5,11,False
Dil Se Indian Restaurant & Bar,994.6099799392745,"335 Roncesvalles Avenue, Toronto, ON M6R 2M8, Canada",+1 416-532-4141,4.5,21,False
Cafe Tibet Bar & Grill,829.7589362220704,"390 Roncesvalles Avenue, Toronto, ON M6R 2M9, Canada",+1 416-792-9258,4.5,22,False
Himalayan Kitchen,1200.8562914288877,"1526 Queen Street W, Toronto, ON M6R 1A1, Canada",+1 416-536-4138,4.5,149,False
Momo Cafe & Zomsa Bar,1178.486010389398,"1498 Queen Street W, Toronto, ON M6R 1A4, Canada",+1 416-551-0997,5.0,2,False
OM Restaurant and Bar,1140.8771203113872,"1439 Queen Street W, Toronto, ON M6R 1A1, Canada",+1 416-532-3901,4.0,52,False
6ixTriangles,1135.0597724848574,"127 Jefferson Avenue, Toronto, ON M6K 3E4, Canada",+1 416-539-0555,3.5,7,False
Little Tibet  Restaurant,1148.8972992154343,"1449A Queen Street W, Toronto, ON M6R 1A1, Canada",+1 416-532-9728,4.5,26,False
Norling,1190.2090416401443,"1512 Queen Street W, Toronto, ON M6R 1A4, Canada",+1 416-532-2877,4.0,72,False
Loga's Corner,1099.2719207694643,"216C Close Avenue, Toronto, ON M6K 2V5, Canada",+1 647-761-0965,4.5,173,False
Dave's Hot Chicken,1264.087322893794,"1582 Queen Street W, Toronto, ON M6R 1A6, Canada",+1 416-546-3776,3.5,62,False
Shangrila Tibetan & Asian Cuisine,1290.0781245259004,"1600 Queen Street W, Toronto, ON M6R 1A8, Canada",+1 416-588-1100,4.0,96,False
South Indian Dosa Mahal,292.2677020185302,"9 Roncesvalles Avenue, Toronto, ON M6R 2K2, Canada",+1 647-341-8553,4.0,13,False
Himalayan Kitchen,626.9634648741758,"1526 Queen Street W, Toronto, ON M6R 1A1, Canada",+1 416-536-4138,4.5,149,False
Mother India,837.2505672036085,"1456 Queen Street W, Toronto, ON M6K 1M2, Canada",+1 416-588-4634,4.0,206,False
OM Restaurant and Bar,707.5483330851195,"1439 Queen Street W, Toronto, ON M6R 1A1, Canada",+1 416-532-3901,4.0,52,False
Momo Cafe & Zomsa Bar,690.8369434263452,"1498 Queen Street W, Toronto, ON M6R 1A4, Canada",+1 416-551-0997,5.0,2,False
Garleek Kitchen,687.3571341429226,"1500 Queen Street W, Toronto, ON M6R 1A4, Canada",+1 416-551-0929,4.5,52,False
Shangrila Tibetan & Asian Cuisine,433.34831850771775,"1600 Queen Street W, Toronto, ON M6R 1A8, Canada",+1 416-588-1100,4.0,96,False
Dave's Hot Chicken,487.02928372405614,"1582 Queen Street W, Toronto, ON M6R 1A6, Canada",+1 416-546-3776,3.5,62,False
Little Tibet  Restaurant,666.6005626470561,"1449A Queen Street W, Toronto, ON M6R 1A1, Canada",+1 416-532-9728,4.5,26,False
Norling,657.3929445416828,"1512 Queen Street W, Toronto, ON M6R 1A4, Canada",+1 416-532-2877,4.0,72,False
Loga's Corner,833.6750405586199,"216C Close Avenue, Toronto, ON M6K 2V5, Canada",+1 647-761-0965,4.5,173,False
Bawara,376.76460284548455,"1570 Bloor St W, Toronto, ON M5G 1S4, Canada",+1 416-532-2323,4.5,11,False
Dil Se Indian Restaurant & Bar,471.9983152894873,"335 Roncesvalles Avenue, Toronto, ON M6R 2M8, Canada",+1 416-532-4141,4.5,21,False
Cafe Tibet Bar & Grill,290.55421686585976,"390 Roncesvalles Avenue, Toronto, ON M6R 2M9, Canada",+1 416-792-9258,4.5,22,False
South Indian Dosa Mahal,890.4353522382087,"1285 Bloor Street W, Toronto, ON M6H 1N7, Canada",+1 416-588-4147,4.5,2,False
Tadka Express,909.2892223504479,"675 Lansdowne Avenue, Toronto, ON M6H 3Y9, Canada",+1 416-551-7891,3.0,2,False
Aafrien,541.4114298082869,"55 Eglinton Avenue E, Toronto, ON M4P 1G8, Canada",+1 416-482-3434,4.5,17,False
Chowrasta Indian Cuisine,572.0462121988596,"164 Eglinton Avenue E, Toronto, ON M4P 1G4, Canada",+1 416-486-6644,3.5,4,False
Marigold Indian Bistro,1262.9314141575444,"552 Mount Pleasant Road, Toronto, ON M4S 2M6, Canada",+1 647-748-0220,3.0,77,False
Fresh on Eglinton,538.2545991553229,"101 Eglinton Avenue E, Toronto, ON M4P 1H4, Canada",+1 416-599-4442,3.5,203,False
Rikki Tikki,772.9086566912514,"209 Augusta Avenue, Toronto, ON M5T 2L4, Canada",+1 416-792-3229,5.0,27,False
Little India Restaurant,612.5210218107121,"255 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-205-9836,3.5,435,False
Maezo Indian Cuisine,192.49963920976484,"102-250 Dundas Street W, Toronto, ON M5T 2Z6, Canada",+1 416-941-0000,4.5,12,False
The Host Fine Indian Cuisine,497.6430226795168,"87 Elm Street, Toronto, ON M5G 0A8, Canada",+1 416-962-4678,3.5,131,False
Aroma Fine Indian Cuisine,997.8169254149029,"287 King St W, Toronto, ON M5V 1J5, Canada",+1 416-971-7242,3.5,224,False
The Bombay,614.8013148881156,"259 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-519-2550,3.0,9,False
Saffron Spice Kitchen,865.6259405610492,"459 Queen Street W, Toronto, ON M5V 2A9, Canada",+1 416-203-0222,4.0,137,False
Byblos,909.541141335642,"11 Duncan Street, Toronto, ON M5V 3M2, Canada",+1 647-660-0909,4.5,910,False
Khazana - By Chef Sanjeev Kapoor,958.4339690219957,"261 Yonge Street, Toronto, ON M5B 1N8, Canada",+1 905-789-8738,3.5,20,False
Indian Biriyani House,442.2181907298332,"181 Dundas St W, Toronto, ON M5G 1C7, Canada",+1 416-340-1254,2.5,71,False
Spice66,917.318039607714,"335 Yonge And Dundas, Toronto, ON M5B 2L3, Canada",+1 416-816-2766,4.0,3,False
Sizzler Kabab,589.8640134547859,"381 Spadina Avenue, Toronto, ON M5T 2G6, Canada",+1 416-551-7786,3.5,51,False
Matagali Restaurant,611.3830664540086,"69 Elm Street, Toronto, ON M5G 1H2, Canada",+1 416-599-9994,3.5,57,False
PLANTA Toronto,603.1476144694306,"180 Queen Street W, Toronto, ON M5V 3X3, Canada",+1 647-812-1210,4.0,168,False
T|Bar,795.339519110541,"Chelsea Hotel, 33 Gerrard Street W, Toronto, ON M5G 1Z4, Canada",+1 416-585-4961,3.5,13,False
The Cottage Cheese,880.4754563837325,"64 Oxford Street, Toronto, ON M5T 1P1, Canada",+1 647-368-8633,4.5,21,False
Colaba Junction,829.8970363974091,"801 Bay Street, Unit 3 & 4, Toronto, ON M5S 1Y9, Canada",+1 416-646-8800,3.0,81,False
Chaska,817.2709250996278,"218 Adelaide St W, Toronto, ON M5H 1W7, Canada",,4.0,12,False
Roti Mahal Indian Cuisine,1237.437590574532,"554 Queen Street W, Toronto, ON M5V 2B5, Canada",+1 416-546-9404,4.5,17,False
My Dosa Place,842.7253793916647,"406 Queen Street W, Toronto, ON M5V 2A6, Canada",+1 416-366-5554,4.0,1,False
Sher-E-Punjab,932.1496101107956,"351 Danforth Avenue, Toronto, ON M4K 1N7, Canada",+1 416-465-2125,4.0,96,False
Kachiguda Junction,800.3117463525077,"505 Danforth Avenue, Toronto, ON M4K 1P5, Canada",+1 416-466-1555,4.5,3,False
Momo Hut & Gardens,880.4124529891958,"401 Danforth Avenue, Danforth, Toronto, ON M4K 1P1, Canada",+1 416-363-8580,4.5,124,False
Gorkha Durbar,762.6101990846743,"516 Danforth Ave, Toronto, ON M4K 1P6, Canada",+1 416-469-5580,2.0,1,False
Simba Grill,1088.200878157185,"375 Donlands Avenue, East York, ON M4J 3S2, Canada",+1 416-429-6057,3.5,24,False
Papyrus,940.3779677480388,"337 Danforth Avenue, Toronto, ON M4K 1N7, Canada",+1 647-352-3878,5.0,51,False
Danforth Dragon,998.1045549770488,"861 Danforth Avenue, Toronto, ON M4J 1L8, Canada",+1 416-461-9238,3.5,88,False
India Kitchen,1093.786999631096,"988 Danforth Ave, Toronto, ON M4J 1M1, Canada",,1.0,1,False
Abyssinia Ethiopian Restaurant,970.7529898371581,"884 Danforth Avenue, Toronto, ON M4J 1L7, Canada",+1 416-778-9798,4.5,25,False
Utsav,93.4999395254644,"69 Yorkville Ave, Toronto, ON M5R 1B8, Canada",+1 416-961-8349,4.0,137,False
Bhoj Indian Cuisine,273.20098047781346,"21 Davenport Road, Toronto, ON M5R 1H2, Canada",+1 416-961-8351,4.0,73,False
Naan & Kabob,365.894528742268,"691 Yonge Street, Toronto, ON M4Y 2B2, Canada",+1 416-972-6623,4.0,149,False
Poppadum,287.19775486320765,"874 Yonge Street, Toronto, ON M4W 2J1, Canada",+1 647-892-2907,5.0,6,False
Kathmandu Restaurant,190.0049963564836,"12 Cumberland Street, Toronto, ON M4W 1J5, Canada",+1 647-345-4214,3.5,68,False
Suksi Biryani House,366.26434732261595,"15 Hayden Street, Toronto, ON M4Y 2P2, Canada",+1 416-515-1957,3.5,74,False
Kothur Indian Cuisine,454.78907676071736,"649 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-926-0953,3.5,101,False
PLANTA Yorkville,61.294936032514165,"1221 Bay Street, Toronto, ON M5R 3P5, Canada",+1 647-812-1221,4.0,508,False
Exotic Tandoori Restaurant,342.2273439697817,"11 Charles Street W, Toronto, ON M4Y 1R4, Canada",+1 416-964-1616,3.0,2,False
M Biryani House,151.56193839971863,"F03-2 Bloor Street W, Toronto, ON M5T 1G1, Canada",+1 647-340-4180,1.0,1,False
Adrak,683.4713891201297,"138 Avenue Road, Toronto, ON M5R 2H6, Canada",+1 416-413-0777,3.5,11,False
Indian Roti House,1038.9266245025465,"471 Church Street, Toronto, ON M4Y 2C5, Canada",+1 647-987-7684,3.5,43,False
Govinda's,914.1338221213545,"243 Avenue Road, Toronto, ON M5R 2J6, Canada",+1 888-218-1040,4.0,43,False
Tandori,309.06665817512584,"Hudson Bay Centre, 2 Bloor Street E, Toronto, ON M4W 3T3, Canada",+1 416-580-9311,3.0,7,False
Maja Indian Cuisine,930.8761325400192,"345 Bloor Street E, Toronto, ON M4W 3J6, Canada",+1 647-350-7876,4.0,34,False
Ceylon Spice by Esther,230.51994192765628,"2 Bloor St W, L35, Toronto, ON M5T 1G1, Canada",,2.0,5,False
Globol Restaurants,1215.6387495330637,"60 Carlton Street, Loblaws Maple Leaf Gardens, Toronto, ON M5B 1J2, Canada",,5.0,1,False
Butter Chicken Roti,556.0618065817132,"646 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-783-7634,3.5,20,False
Oh Bombay,1074.3007007293343,"21 Grenville Street, Toronto, ON M4Y 1A1, Canada",+1 647-812-6208,3.5,2,False
The Halal Guys,748.6039527060187,"563 Yonge St, Toronto, ON M4Y 1Z2, Canada",+1 416-901-1011,3.0,269,False
Bhoj Indian Cuisine,500.84134235155085,"21 Davenport Road, Toronto, ON M5R 1H2, Canada",+1 416-961-8351,4.0,73,False
Utsav,488.34182440233405,"69 Yorkville Ave, Toronto, ON M5R 1B8, Canada",+1 416-961-8349,4.0,137,False
Naan & Kabob,41.427427549498454,"691 Yonge Street, Toronto, ON M4Y 2B2, Canada",+1 416-972-6623,4.0,149,False
Suksi Biryani House,42.84417179998449,"15 Hayden Street, Toronto, ON M4Y 2P2, Canada",+1 416-515-1957,3.5,74,False
Kothur Indian Cuisine,128.99917369213944,"649 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-926-0953,3.5,101,False
Poppadum,419.638815508359,"874 Yonge Street, Toronto, ON M4W 2J1, Canada",+1 647-892-2907,5.0,6,False
Kathmandu Restaurant,298.7235292106186,"12 Cumberland Street, Toronto, ON M4W 1J5, Canada",+1 647-345-4214,3.5,68,False
Indian Roti House,669.6784206150304,"471 Church Street, Toronto, ON M4Y 2C5, Canada",+1 647-987-7684,3.5,43,False
Exotic Tandoori Restaurant,127.71408158723293,"11 Charles Street W, Toronto, ON M4Y 1R4, Canada",+1 416-964-1616,3.0,2,False
Maja Indian Cuisine,623.6058369148427,"345 Bloor Street E, Toronto, ON M4W 3J6, Canada",+1 647-350-7876,4.0,34,False
PLANTA Yorkville,340.13779927284725,"1221 Bay Street, Toronto, ON M5R 3P5, Canada",+1 647-812-1221,4.0,508,False
Colaba Junction,887.2230706340337,"801 Bay Street, Unit 3 & 4, Toronto, ON M5S 1Y9, Canada",+1 416-646-8800,3.0,81,False
Tandori,180.04819810269794,"Hudson Bay Centre, 2 Bloor Street E, Toronto, ON M4W 3T3, Canada",+1 416-580-9311,3.0,7,False
Globol Restaurants,878.252495103656,"60 Carlton Street, Loblaws Maple Leaf Gardens, Toronto, ON M5B 1J2, Canada",,5.0,1,False
Ceylon Spice by Esther,207.9808759660432,"2 Bloor St W, L35, Toronto, ON M5T 1G1, Canada",,2.0,5,False
M Biryani House,260.21956473101363,"F03-2 Bloor Street W, Toronto, ON M5T 1G1, Canada",+1 647-340-4180,1.0,1,False
Butter Chicken Roti,261.5625766455028,"646 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-783-7634,3.5,20,False
Adrak,1071.7798183410837,"138 Avenue Road, Toronto, ON M5R 2H6, Canada",+1 416-413-0777,3.5,11,False
Govinda's,1279.5361950696506,"243 Avenue Road, Toronto, ON M5R 2J6, Canada",+1 888-218-1040,4.0,43,False
Oh Bombay,820.6533095268018,"21 Grenville Street, Toronto, ON M4Y 1A1, Canada",+1 647-812-6208,3.5,2,False
Roti Mahal Indian Cuisine,689.1816709315102,"554 Queen Street W, Toronto, ON M5V 2B5, Canada",+1 416-546-9404,4.5,17,False
Saffron Spice Kitchen,973.8809721799798,"459 Queen Street W, Toronto, ON M5V 2A9, Canada",+1 416-203-0222,4.0,137,False
My Roti Place,550.2722132050407,"901 King Street West, Toronto, ON M5V 3H5, Canada",+1 416-306-8445,4.5,34,False
The Kettle,601.5465188825392,"685 Queen Street W, Toronto, ON M6J 1E6, Canada",+1 416-551-6788,4.5,14,False
Friends Butter Chicken,619.952525521826,"657 Queen Street W, Toronto, ON M6J 1E6, Canada",,4.5,4,False
Sizzler Kabab,255.21936449917177,"754 King Street W, Toronto, ON M5V 1N3, Canada",,3.5,11,False
My Dosa Place,994.0297396628122,"406 Queen Street W, Toronto, ON M5V 2A6, Canada",+1 416-366-5554,4.0,1,False
The Momo House,597.5276024655509,"685 Queen St W, Toronto, ON M6J 1E6, Canada",,4.0,4,False
My Roti Place,992.1683081506263,"406 Queen Street W, Toronto, ON M5V 2A6, Canada",+1 416-366-5554,3.5,73,False
Curryish Tavern,608.3103622621355,"783 Queen Street W, Toronto, ON M6J 1G1, Canada",+1 416-392-7837,4.0,11,False
Fresh on Spadina,1025.0713200177156,"147 Spadina Avenue, Toronto, ON M5V 2L7, Canada",+1 416-599-4442,4.0,435,False
My Roti Place,550.2722132050407,"901 King Street W, Toronto, ON M5V 3H5, Canada",+1 416-306-8445,5.0,1,False
TO’s Kathi Roll Eatery,965.5042612182506,"465 Queen Street W, Toronto, ON M5V 2A9, Canada",,4.5,2,False
Cheffry's Artisanal Bistro,1070.8653877779202,"388 Richmond Street W, Unit 5B, Toronto, ON M5V 3P1, Canada",+1 437-996-7357,4.5,13,False
Maurya East Indian Roti,993.2354095971915,"150 E Liberty Street, Toronto, ON M6K 3R5, Canada",+1 647-347-7002,3.0,43,False
Angithi Biryani and Wraps,956.9463581066818,"363 Bremner Boulevard, Toronto, ON M5V 3V4, Canada",+1 416-551-1777,2.0,9,False
Chin Chin Street Side Kitchen,959.4285017064798,"363 Bremner Boulevard, Toronto, ON M5V 3V4, Canada",+1 416-901-1990,3.5,49,False
Coco Rice Thai Cuisine,290.39486196595544,"669 King Street W, Toronto, ON M5V 1M9, Canada",+1 416-504-9434,3.5,114,False
Kupfert & Kim,965.1947198163514,"140 Spadina Avenue., Toronto, ON M5V 2L4, Canada",+1 416-504-2206,4.0,157,False
Fresh on Crawford,947.3190522273741,"894 Queen Street W, Toronto, ON M6J 1G3, Canada",+1 416-599-4442,3.5,193,False
Aanch,460.8842978090228,"259 Wellington St W, Toronto, ON M5V, Canada",+1 416-599-0513,4.0,189,False
Saffron Spice Kitchen,511.40323290933867,"459 Queen Street W, Toronto, ON M5V 2A9, Canada",+1 416-203-0222,4.0,137,False
Aroma Fine Indian Cuisine,615.1445067351059,"287 King St W, Toronto, ON M5V 1J5, Canada",+1 416-971-7242,3.5,224,False
Little India Restaurant,943.6614504610254,"255 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-205-9836,3.5,435,False
Indian Roti House,1032.3598074104593,"256 Queens Quay W, Toronto, ON M5J 1B5, Canada",+1 416-260-6666,4.0,231,False
Byblos,800.6249076222913,"11 Duncan Street, Toronto, ON M5V 3M2, Canada",+1 647-660-0909,4.5,910,False
Roti Mahal Indian Cuisine,660.0319617382696,"554 Queen Street W, Toronto, ON M5V 2B5, Canada",+1 416-546-9404,4.5,17,False
My Roti Place,542.0439950694445,"406 Queen Street W, Toronto, ON M5V 2A6, Canada",+1 416-366-5554,3.5,73,False
My Dosa Place,544.3210248270775,"406 Queen Street W, Toronto, ON M5V 2A6, Canada",+1 416-366-5554,4.0,1,False
The Bombay,929.0738729393452,"259 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-519-2550,3.0,9,False
Fresh on Spadina,479.4372006350851,"147 Spadina Avenue, Toronto, ON M5V 2L7, Canada",+1 416-599-4442,4.0,435,False
Chaska,887.2704830525514,"218 Adelaide St W, Toronto, ON M5H 1W7, Canada",,4.0,12,False
PLANTA Toronto,1055.6316638921128,"180 Queen Street W, Toronto, ON M5V 3X3, Canada",+1 647-812-1210,4.0,168,False
TO’s Kathi Roll Eatery,508.9503588807706,"465 Queen Street W, Toronto, ON M5V 2A9, Canada",,4.5,2,False
Annalakshmi,439.48861674995794,"277 Wellington Street W, Unit 100B, Toronto, ON M5V 3E4, Canada",+1 416-792-3672,3.0,22,False
Cheffry's Artisanal Bistro,502.2703428829551,"388 Richmond Street W, Unit 5B, Toronto, ON M5V 3P1, Canada",+1 437-996-7357,4.5,13,False
The Kettle,744.4434198738398,"685 Queen Street W, Toronto, ON M6J 1E6, Canada",+1 416-551-6788,4.5,14,False
Friends Butter Chicken,703.5984866381066,"657 Queen Street W, Toronto, ON M6J 1E6, Canada",,4.5,4,False
The Momo House,744.5574591411162,"685 Queen St W, Toronto, ON M6J 1E6, Canada",,4.0,4,False
Sizzler Kabab,688.8856393406678,"754 King Street W, Toronto, ON M5V 1N3, Canada",,3.5,11,False
Little India Restaurant,482.7117479347598,"255 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-205-9836,3.5,435,False
Rikki Tikki,962.9623812666139,"209 Augusta Avenue, Toronto, ON M5T 2L4, Canada",+1 416-792-3229,5.0,27,False
Maezo Indian Cuisine,38.65609880530093,"102-250 Dundas Street W, Toronto, ON M5T 2Z6, Canada",+1 416-941-0000,4.5,12,False
Aroma Fine Indian Cuisine,904.3183116746125,"287 King St W, Toronto, ON M5V 1J5, Canada",+1 416-971-7242,3.5,224,False
Khazana - By Chef Sanjeev Kapoor,762.9606574323941,"261 Yonge Street, Toronto, ON M5B 1N8, Canada",+1 905-789-8738,3.5,20,False
The Host Fine Indian Cuisine,363.8242973366317,"87 Elm Street, Toronto, ON M5G 0A8, Canada",+1 416-962-4678,3.5,131,False
The Bombay,489.5712744231039,"259 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-519-2550,3.0,9,False
Byblos,783.4227874258577,"11 Duncan Street, Toronto, ON M5V 3M2, Canada",+1 647-660-0909,4.5,910,False
Saffron Spice Kitchen,918.0678133702203,"459 Queen Street W, Toronto, ON M5V 2A9, Canada",+1 416-203-0222,4.0,137,False
Indian Biriyani House,247.4216276009566,"181 Dundas St W, Toronto, ON M5G 1C7, Canada",+1 416-340-1254,2.5,71,False
Matagali Restaurant,470.98090064285725,"69 Elm Street, Toronto, ON M5G 1H2, Canada",+1 416-599-9994,3.5,57,False
Spice66,753.2664450121081,"335 Yonge And Dundas, Toronto, ON M5B 2L3, Canada",+1 416-816-2766,4.0,3,False
PLANTA Toronto,440.2884023532569,"180 Queen Street W, Toronto, ON M5V 3X3, Canada",+1 647-812-1210,4.0,168,False
T|Bar,671.6300609738328,"Chelsea Hotel, 33 Gerrard Street W, Toronto, ON M5G 1Z4, Canada",+1 416-585-4961,3.5,13,False
Chaska,678.4674044109726,"218 Adelaide St W, Toronto, ON M5H 1W7, Canada",,4.0,12,False
Colaba Junction,797.4598627887746,"801 Bay Street, Unit 3 & 4, Toronto, ON M5S 1Y9, Canada",+1 416-646-8800,3.0,81,False
Punjabi Chaap Corner,576.2984490428852,"38 Elm Street, Unit 06A, Toronto, ON M5G 2K5, Canada",+1 416-598-3787,4.0,5,False
Sizzler Kabab,801.5497843414996,"381 Spadina Avenue, Toronto, ON M5T 2G6, Canada",+1 416-551-7786,3.5,51,False
My Dosa Place,901.5450263126952,"406 Queen Street W, Toronto, ON M5V 2A6, Canada",+1 416-366-5554,4.0,1,False
Fresh on Spadina,869.8844238713403,"147 Spadina Avenue, Toronto, ON M5V 2L7, Canada",+1 416-599-4442,4.0,435,False
The Chulo,181.14066266653936,"394 Bloor Street, Unit 102, Toronto, ON M5S 1X4, Canada",+1 416-925-9777,5.0,1,False
Indian Desire,137.8495611595977,"469 Bloor Street W, Toronto, ON M5S 1X9, Canada",+1 416-519-0604,4.5,17,False
Gully,328.95481724337003,"521 Bloor Street W, Toronto, ON M5S 1Y4, Canada",+1 416-516-9099,5.0,1,False
Masala Guys,131.48787449638678,"384 Bloor Street W, Toronto, ON M5S 1X2, Canada",+1 416-901-3988,4.5,7,False
Matha Roti - East Indian Cuisine,428.181286708412,"141 Harbord Street, Toronto, ON M5S 2M2, Canada",+1 416-966-6955,4.0,34,False
Naans & More,491.7814203926588,"795 Bathurst St, Toronto, ON M5S 1Z5, Canada",,5.0,1,False
Fat Pasha,1041.0716875585545,"414 Dupont Street, Toronto, ON M5R 1V9, Canada",+1 647-340-6142,4.0,210,False
Bombay Roti,361.6411996903455,"529 Bloor Street W, Toronto, ON M5S 1Y5, Canada",+1 647-352-7684,3.5,21,False
Ghazale Restaurant,464.7638459877721,"504 Bloor Street W, Toronto, ON M5S 1Y3, Canada",+1 416-537-4417,3.5,98,False
Thindi,998.5142514624514,"400 College Street, Toronto, ON M5T 1S7, Canada",,4.0,6,False
Roti Cuisine of India,1031.8350961260833,"308 Dupont Street, Toronto, ON M5R 1W1, Canada",+1 416-968-9366,4.5,122,False
Naanspot- Modern Indian Cuisine,926.3139230488534,"310 College Street, Toronto, ON M5T 1S2, Canada",+1 647-343-6226,4.0,5,False
Annapurna Vegetarian Restaurant,1057.3769897529708,"1085 Bathurst Street, Toronto, ON M5R 3G8, Canada",+1 416-537-8513,4.0,39,False
Fresh Kitchen + Juice Bar,168.8122252832434,"326 Bloor Street W, Toronto, ON M5S 1W5, Canada",+1 416-599-4442,3.5,336,False
Adrak,1167.2958736155053,"138 Avenue Road, Toronto, ON M5R 2H6, Canada",+1 416-413-0777,3.5,11,False
Veda Healthy IndianTakeout,1043.7511407075986,"Sandford Fleming Building, 10 King's College Rd, Toronto, ON M5S, Canada",+1 416-961-9797,3.0,22,False
By The Way,213.96587284694908,"400 Bloor Street W, Toronto, ON M5S 1X5, Canada",+1 416-967-4295,3.5,96,False
Tandoori Flavour,948.9222328053091,"455 Spadina Avenue, Toronto, ON M5S 2G8, Canada",+1 416-599-0599,2.5,4,False
Aanch,195.1376697328386,"259 Wellington St W, Toronto, ON M5V, Canada",+1 416-599-0513,4.0,189,False
Aroma Fine Indian Cuisine,43.623502963236746,"287 King St W, Toronto, ON M5V 1J5, Canada",+1 416-971-7242,3.5,224,False
Little India Restaurant,458.58283063105523,"255 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-205-9836,3.5,435,False
Rikki Tikki,1310.5630337944763,"209 Augusta Avenue, Toronto, ON M5T 2L4, Canada",+1 416-792-3229,5.0,27,False
Byblos,195.26470678735228,"11 Duncan Street, Toronto, ON M5V 3M2, Canada",+1 647-660-0909,4.5,910,False
Indian Roti House,829.5102216056916,"256 Queens Quay W, Toronto, ON M5J 1B5, Canada",+1 416-260-6666,4.0,231,False
Saffron Spice Kitchen,672.1723123108274,"459 Queen Street W, Toronto, ON M5V 2A9, Canada",+1 416-203-0222,4.0,137,False
The Bombay,449.3332245189711,"259 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-519-2550,3.0,9,False
Chaska,306.6754604054509,"218 Adelaide St W, Toronto, ON M5H 1W7, Canada",,4.0,12,False
Maezo Indian Cuisine,972.9673378623055,"102-250 Dundas Street W, Toronto, ON M5T 2Z6, Canada",+1 416-941-0000,4.5,12,False
PLANTA Toronto,540.305092335718,"180 Queen Street W, Toronto, ON M5V 3X3, Canada",+1 647-812-1210,4.0,168,False
Chaska Express,435.62002326911846,"595 Bay Street, Toronto, ON M5G 2R3, Canada",+1 647-475-1278,3.5,20,False
Fresh on Spadina,545.3912597989911,"147 Spadina Avenue, Toronto, ON M5V 2L7, Canada",+1 416-599-4442,4.0,435,False
My Roti Place,693.2262257975304,"406 Queen Street W, Toronto, ON M5V 2A6, Canada",+1 416-366-5554,3.5,73,False
My Dosa Place,694.1915709486109,"406 Queen Street W, Toronto, ON M5V 2A6, Canada",+1 416-366-5554,4.0,1,False
Annalakshmi,219.49973558824396,"277 Wellington Street W, Unit 100B, Toronto, ON M5V 3E4, Canada",+1 416-792-3672,3.0,22,False
Stratus Restaurant,669.25031174142,"79 Wellington Street W, TD South Tower, 36th Fl., Toronto, ON M5K 1J5, Canada",+1 416-865-1924,5.0,1,False
Amaya,298.9673539936409,"200 Simcoe Place, Toronto, ON M5V 3K2, Canada",,1.5,10,False
Cheffry's Artisanal Bistro,502.3337656725678,"388 Richmond Street W, Unit 5B, Toronto, ON M5V 3P1, Canada",+1 437-996-7357,4.5,13,False
Indian Biriyani House,1016.1938645906467,"181 Dundas St W, Toronto, ON M5G 1C7, Canada",+1 416-340-1254,2.5,71,False
Delhi Bistro,501.53477400066976,"2214 Queen Street E, Toronto, ON M4E 1E9, Canada",+1 647-351-6112,4.0,38,False
Chowpatty Culture,610.1273884055075,"1966 Queen Street E, Toronto, ON M4L 1H8, Canada",+1 416-691-0404,5.0,1,False
